Username,Champion,Results,Game_Length,Game_Type,Champ_lvl,Kills,Deaths,Assists
stein gate,Morgana,Victory,13m 28s,URF,13,5,5,8
stein gate,Morgana,Victory,16m 8s,URF,14,12,3,19
stein gate,Morgana,Defeat,14m 32s,URF,12,11,5,13
stein gate,Morgana,Victory,17m 39s,URF,17,5,8,20
stein gate,Teemo,Defeat,21m 8s,URF,17,5,17,19
stein gate,LeBlanc,Victory,16m 42s,URF,14,9,5,10
stein gate,LeBlanc,Victory,15m 55s,URF,15,10,7,7
stein gate,Morgana,Victory,18m 33s,URF,18,18,4,18
stein gate,Morgana,Victory,8m 47s,URF,8,2,3,14
stein gate,Morgana,Victory,16m 6s,URF,14,13,6,16
stein gate,Teemo,Victory,22m 58s,URF,21,9,20,18
stein gate,Teemo,Defeat,20m 35s,URF,20,13,16,15
stein gate,LeBlanc,Defeat,13m 10s,URF,11,5,10,2
stein gate,Teemo,Victory,17m 55s,URF,15,6,7,11
