Username,Champion,Results,Game_Length,Game_Type,Champ_lvl,Kills,Deaths,Assists
takumochi,Ahri,Victory,33m 18s,Clash,15,0,4,18
takumochi,Ziggs,Victory,27m 46s,Clash,15,9,1,12
takumochi,Ahri,Victory,31m 35s,Clash,16,10,2,6
takumochi,Lissandra,Victory,25m 21s,ARAM,18,16,10,38
takumochi,Aphelios,Defeat,17m 51s,ARAM,17,6,11,24
takumochi,Anivia,Defeat,25m 37s,ARAM,18,12,12,25
takumochi,Karma,Defeat,15m 51s,ARAM,15,2,7,25
takumochi,Corki,Defeat,22m 23s,ARAM,18,14,10,30
takumochi,Nami,Defeat,29m 48s,Normal,12,3,9,18
takumochi,Kassadin,Defeat,32m 46s,Normal,15,6,11,8
takumochi,Lux,Victory,15m 18s,Normal,8,1,0,11
takumochi,Leona,Victory,26m 18s,ARAM,18,6,13,27
takumochi,Karthus,Defeat,20m 54s,ARAM,18,10,14,25
takumochi,Morgana,Victory,20m 21s,ARAM,18,12,6,19
takumochi,Ahri,Victory,21m 53s,ARAM,18,20,7,19
